year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,88007.44,9515.03,54645.68,52454.79
2018,88007.44,9515.41,54645.68,52454.79
2019,88083.38,9515.78,54645.68,52454.79
2020,88083.38,9516.14,54645.68,53262.47
2021,88083.38,9516.43,54645.68,53262.47
2022,88083.38,9516.45,54645.68,53262.47
2023,88083.38,9516.21,54645.68,53262.47
2024,88083.38,9515.83,54645.68,52454.79
2025,88083.38,9515.73,54645.68,52454.79
2026,88083.38,9515.88,54645.68,52454.79
2027,88083.38,9516.06,54645.68,53262.47
2028,88083.38,9516.33,54645.68,53262.47
2029,88083.38,9516.37,54645.68,53262.47
2030,88083.38,9516.26,54645.68,53262.47
2031,88083.38,9516.08,54645.68,53262.47
2032,88083.38,,,53262.47
2033,88083.38,,,52454.79
2034,88083.38,,,52454.79
2035,88083.38,,,52454.79
2036,88007.44,,,52454.79
