year,Base case diesel consumed,Modeled non-residential ashp
2017,84105.5143412,59900.0186971
2018,84105.5143412,59900.0186971
2019,84105.5143412,59900.0186971
2020,82904.4059722,58698.9103281
2021,82904.4059722,58698.9103281
2022,82904.4059722,58698.9103281
2023,82904.4059722,58698.9103281
2024,82904.4059722,58698.9103281
2025,81703.2976032,57497.8019591
2026,81703.2976032,57497.8019591
2027,81703.2976032,57497.8019591
2028,80502.1892342,56296.6935901
2029,80502.1892342,56296.6935901
2030,80502.1892342,56296.6935901
2031,79301.0808653,55095.5852212
