year,Base case cost,Modeled solar power (pv)
2016,99201.6580612,107833.221852
2017,121565.037624,129877.350167
2018,138767.637288,146841.696793
2019,162851.276817,170590.758424
2020,174319.676593,181912.38913
2021,182347.556436,189845.327297
2022,188081.756324,195518.887564
2023,192433.579418,199827.388977
2024,195869.893336,203237.296503
2025,199634.276392,206967.908374
2026,204782.438247,212067.219888
2027,208530.698247,215783.25777
2028,211958.600136,219187.405766
2029,217100.45297,224282.939135
2030,219687.151941,226854.835773
2031,224822.695753,231945.654829
2032,229675.735585,236754.873945
2033,234516.157373,241552.367455
2034,239912.474089,246899.230794
2035,243591.334848,250551.666726
