year,Base case cost,Modeled residential energy efficiency
2017,500436.141675,517525.273085
2018,532231.619762,543865.189754
2019,576745.289084,580741.073092
2020,589987.016667,590345.759729
2021,604623.078505,602435.892905
2022,615077.408389,611071.702317
2023,623440.872296,617980.349846
2024,629713.470226,623161.835493
2025,628427.510683,620602.911619
2026,637706.661048,628245.393559
2027,644923.777999,634189.546178
2028,642188.729594,630363.385491
2029,651338.133429,637876.1209
2030,656421.135559,642049.862794
2031,656317.816279,640309.875088
2032,655955.003937,638310.394321
2033,664844.91471,645563.636669
2034,665066.214359,643966.415845
2035,662122.382481,639749.619636
2036,661810.279726,637618.996409
