year,Base case cost,Old harbor (midway creek),"Old harbor (ohiouzuk creek, lower reach)","Old harbor (big creek tributary) -- big creek, tributary","Old harbor (big creek, upper)","Old harbor -- mountain creek, tributary",Old harbor hydroelectric project geotechnical study and final design
2020,174319.676593,,,,,,573240.038566
2021,182347.556436,687064.667172,322266.135219,398373.68782,4131822.56633,564137.668477,572776.862365
2022,188081.756324,686222.751007,326253.179832,401268.760386,4129274.4868,563093.592032,572446.022221
2023,192433.579418,685313.681257,329207.278706,403349.281621,4127000.48637,562022.794059,571945.813289
2024,195869.893336,684804.325543,331595.299459,405082.119146,4125467.43264,561392.142177,571743.103188
2025,199634.276392,683965.427361,334136.673823,406859.113077,4123434.2201,560411.731799,571261.958221
2026,204782.438247,683195.084768,337712.395931,409452.060342,4121128.33048,559459.444955,570951.584048
2027,208530.698247,682340.063531,340237.647239,411212.931217,4119078.99489,558462.911522,570454.316026
2028,211958.600136,681822.295788,342617.255963,412937.356712,4117537.52914,557823.847611,570243.193896
2029,217100.45297,681045.644173,346186.669049,415523.994956,4115225.3305,556865.251744,569926.5107
2030,219687.151941,680344.285117,347899.790383,416691.130266,4113670.88976,556062.812549,569480.689656
2031,224822.695753,679561.324481,351462.894447,419271.459488,4111352.3821,555097.90766,569157.697439
2032,229675.735585,678495.859864,354743.494532,421569.28473,4108751.37046,553850.498792,568552.201242
2033,234516.157373,677417.777204,358011.476573,423854.491928,4106137.74077,552590.47188,567934.087001
2034,239912.474089,676237.977866,361660.638014,426411.681322,4103251.77808,551208.512263,567265.363685
2035,243591.334848,675313.557388,364116.490081,428103.152956,4101133.04325,550142.579589,566698.696422
2036,248961.714474,674107.82096,367739.714432,430634.40526,4098221.14346,548734.682882,566004.036016
2037,252052.434194,673252.871048,369782.140987,432021.648586,4096342.49553,547758.436801,565455.731717
2038,257397.577732,672021.898532,373380.129251,434527.664802,4093405.35965,546325.304007,564735.835224
2039,261598.685303,670962.11326,376183.512602,436457.470515,4090980.64369,545103.790511,564084.910769
2040,267481.497706,669611.198004,380144.454203,439217.242864,4087752.94874,543530.498947,563296.179137
2041,267149.222554,669278.922852,379812.17905,438884.967712,4087420.67359,543198.223795,562963.903985
2042,266816.947402,668946.6477,379479.903898,438552.69256,4087088.39844,542865.948642,562631.628832
2043,266484.672249,668614.372547,379147.628746,438220.417407,4086756.12328,542533.67349,562299.35368
2044,266152.397097,668282.097395,378815.353593,437888.142255,4086423.84813,542201.398338,561967.078527
2045,265820.121944,667949.822242,378483.078441,437555.867102,4086091.57298,541869.123185,561634.803375
2046,265487.846792,667617.54709,378150.803288,437223.59195,4085759.29783,541536.848033,561302.528222
2047,265155.571639,667285.271937,377818.528136,436891.316797,4085427.02267,541204.57288,560970.25307
2048,264491.021335,666620.721633,377153.977831,436226.766493,4084762.47237,540540.022575,560305.702765
2049,264158.746182,666288.44648,376821.702679,435894.49134,4084430.19722,540207.747423,559973.427613
2050,263826.47103,665956.171328,376489.427526,435562.216188,4084097.92207,539875.472271,559641.15246
