year,Base case diesel consumed,Modeled non-residential ashp
2017,10567.9055937,3656.49940389
2018,10567.9055937,3656.49940389
2019,10567.9055937,3656.49940389
2020,9315.90133847,2404.49514866
2021,10567.9055937,3656.49940389
2022,9315.90133847,2404.49514866
2023,9315.90133847,2404.49514866
2024,9315.90133847,2404.49514866
2025,9315.90133847,2404.49514866
2026,9315.90133847,2404.49514866
2027,9315.90133847,2404.49514866
2028,9315.90133847,2404.49514866
2029,9315.90133847,2404.49514866
2030,9315.90133847,2404.49514866
2031,9315.90133847,2404.49514866
