year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.0
2004,,2.07,2.5
2005,,2.26,3.0
2006,,3.14,4.6
2008,,3.35,4.82
2009,,3.69,4.86
2010,,3.45,5.25
2011,,3.62,6.03
2012,,4.4,7.04
2013,,4.36,7.3
2014,,,6.94
2016,start of forecast,2.12,4.32
2017,,2.53,4.73
2018,,2.82,5.02
2019,,3.24,5.44
2020,,3.43,5.63
2021,,3.56,5.76
2022,,3.66,5.86
2023,,3.73,5.93
2024,,3.79,5.99
2025,,3.86,6.06
2026,,3.94,6.14
2027,,4.01,6.21
2028,,4.07,6.27
2029,,4.14,6.34
2030,,4.19,6.39
2031,,4.28,6.48
2032,,4.36,6.56
2033,,4.45,6.65
2034,,4.54,6.74
2035,,4.59,6.79
2036,,4.69,6.89
2037,,4.74,6.94
2038,,4.83,7.03
2039,,4.9,7.1
2040,,5.0,7.2
