year,Base case diesel consumed,Modeled solar power (pv)
2016,143811.170581,141310.604602
2017,146169.902504,143689.341053
2018,148671.587877,146210.870917
2019,151101.796525,148660.765301
2020,153389.051723,150967.548749
2021,157177.318145,154775.187195
2022,159679.003518,157296.089615
2023,161894.781991,159530.9314
2024,164182.037189,161837.097402
2025,166469.292387,164143.112119
2026,168899.501035,166591.930209
2027,171258.232958,168969.122699
2028,174188.778681,171917.981303
2029,176690.464054,174437.833055
2030,179192.149427,176957.539476
2031,181693.834799,179477.101729
2032,184195.520172,181996.520966
2033,186482.77537,184301.368158
2034,188984.460743,186820.504788
2035,192057.959916,189911.315609
