year,Base case diesel consumed,Modeled transmission and interties
2021,314354.63629,157177.318145
2022,319358.007035,159679.003518
2023,323789.563982,161894.781991
2024,328364.074378,164182.037189
2025,332938.584774,166469.292387
2026,337799.00207,168899.501035
2027,342516.465916,171258.232958
2028,348377.557361,174188.778681
2029,353380.928107,176690.464054
2030,358384.298853,179192.149427
2031,363387.669599,181693.834799
2032,368391.040345,184195.520172
2033,372965.550741,186482.77537
2034,377968.921487,188984.460743
2035,384115.919832,192057.959916
2036,389405.197477,194702.598739
2037,394837.428573,197418.714286
2038,400126.706218,200063.353109
2039,405987.797664,202993.898832
2040,411848.889109,205924.444554
