year,Base case cost,Akiachak wind feasibility & conceptual design,Akiachak wind_ancec,Modeled wind power
2019,489569.82074,765930.949946,520291.635055,765930.949946
2020,526124.44741,791254.581559,524244.490084,791254.581559
2021,559551.252595,814948.399398,532889.521121,814948.399398
2022,584425.152875,830916.584751,536986.215935,830916.584751
2023,603867.536826,842276.767451,539651.421511,842276.767451
2024,622249.920946,852952.201605,542711.699353,852952.201605
2025,642571.468614,865493.875311,546621.363106,865493.875311
2026,665464.034078,880530.142132,552008.037226,880530.142132
2027,686745.514162,894320.070497,557226.005909,894320.070497
2028,708948.32923,909392.741819,564803.65515,909392.741819
2029,731498.521182,924726.347509,571622.569549,924726.347509
2030,750815.106097,937403.605021,577908.695089,937403.605021
2031,777649.612942,956839.162191,586788.248439,956839.162191
2032,803092.467952,975231.885323,595699.283134,975231.885323
2033,829848.350399,994838.897417,604802.376641,994838.897417
2034,857989.451775,1015951.78986,615436.481237,1015951.78986
2035,881546.036014,1033487.17969,626709.480651,1033487.17969
2036,913155.188084,1058078.73207,639822.789413,1058078.73207
2037,935764.705718,1074894.50129,650423.539502,1074894.50129
2038,966305.995518,1098862.60203,664007.621592,1098862.60203
