year,Base case cost,Modeled biomass for heat (cordwood)
2017,65638.4396038,77913.724626
2018,69853.1396038,81030.1066157
2019,75272.0396038,85036.8834595
2020,77800.8596038,86906.7126534
2021,79607.1596038,88242.3049347
2022,80811.3596038,89132.6997889
2023,81774.7196038,89845.0156722
2024,82497.2396038,90379.2525847
2025,83340.1796038,91002.5289827
2026,84423.9596038,91803.8843514
2027,85266.8996038,92427.1607494
2028,85989.4196038,92961.3976619
2029,86952.7796038,93673.7135453
2030,87554.8796038,94118.9109724
2031,88518.2396038,94831.2268557
2032,,
2033,,
2034,,
2035,,
2036,,
