year,Base case cost,Suryan lake (chip creek),"Akhiok (unnamed stream, site #2) -- unnamed creek, 2","Akhiok (unnamed stream, site #1) -- unnamed creek, 1",Fraser lake (dog salmon creek),Akhiok (kempff bay creek)
2021,31005.0,289852.759556,423580.939184,602260.758896,11145919.7281,367834.437319
2022,32253.3333333,284320.031056,415151.904759,590174.002587,10913272.271,360668.998068
2023,33040.0,278670.940883,406703.790045,578172.861078,10687451.3285,353437.223486
2024,33630.0,273167.343911,398496.950387,566515.739466,10468599.0365,346400.108157
2025,34318.3333333,267784.498169,390455.226808,555092.346767,10253821.389,339512.088936
2026,35203.3333333,262512.18068,382550.315382,543861.776642,10042076.5389,332755.462053
2027,35891.6666667,257376.35647,374873.388111,532956.354789,9836948.75838,326182.032728
2028,36481.6666667,252366.94161,367396.34641,522335.466435,9637401.63209,319774.274274
2029,37366.6666667,247452.248424,360019.567183,511854.786254,9439627.33302,313473.093487
2030,38179.1666667,243000.947201,353226.976324,502071.746172,9250312.85495,307693.036975
2031,39071.6666667,238318.418827,346189.477463,492069.657813,9061322.56021,301685.474081
2032,39964.1666667,233744.289271,339312.059742,482294.86716,8876566.85247,295815.960582
2033,40856.6666667,229276.017959,332590.971293,472742.04697,8695946.48447,290081.260974
2034,41848.3333333,224904.733614,325999.507035,463372.211185,8518440.69222,284465.164976
2035,42542.5,220653.574156,319626.253225,454315.413659,8347650.19044,279016.789174
2036,43534.1666667,216481.832212,313329.469072,445363.991385,8177939.49847,273654.816866
2037,44129.1666667,212431.928633,307267.029957,436749.58449,8015685.24242,268467.659347
2038,45120.8333333,208450.485177,301251.274691,428197.192489,7853408.53841,263348.038309
2039,45914.1666667,204573.639538,295417.19565,419904.896383,7696566.35299,258371.450816
2040,47005.0,200767.288659,289646.409329,411699.265718,7540455.41111,253469.903404
2041,47005.0,197118.794005,284258.387619,404048.864351,7397927.39913,248823.427658
2042,46610.0,193160.810944,278601.647668,396182.769266,7258344.88744,243890.853687
2043,46610.0,189681.335266,273463.229699,388886.777904,7122419.58177,239459.629064
2044,46610.0,186283.409823,268445.243436,381761.786388,6989680.02637,235132.261299
2045,46610.0,182965.123262,263544.866232,374803.786871,6860051.55448,230906.316221
2046,46610.0,179724.60904,258759.341617,368008.865464,6733461.24982,226779.416729
2047,46610.0,176560.044382,254085.977752,361373.200051,6609837.9059,222749.241459
2048,46610.0,173469.649182,249522.145813,354893.057992,6489111.98306,218813.523388
2049,46215.0,170056.685129,244670.278701,348169.794283,6370820.57444,214575.048722
2050,46215.0,167109.454612,240317.869415,341989.84926,6255687.36299,210821.655497
2051,46215.0,164231.299814,236067.469728,335954.746707,6143252.58634,207156.23243
2052,46215.0,161420.601757,231916.688766,330061.091846,6033452.99932,203576.717702
2053,46215.0,158675.779458,227863.191767,324305.569568,5926226.84099,200081.097879
2054,46215.0,155995.288914,223904.698576,318684.942305,5821513.79505,196667.406623
2055,46215.0,153377.622369,220038.982572,313196.048497,5719254.96118,193333.723757
2056,46215.0,150821.307385,216263.869289,307835.80064,5619392.81878,190078.174086
2057,46215.0,148324.906025,212577.235212,302601.183577,5521871.19504,186898.926349
2058,46215.0,145887.014095,208977.006655,297489.252898,5426635.23524,183794.192261
2059,46215.0,143506.260239,205461.158428,292497.133057,5333631.36755,180762.225355
2060,46215.0,141181.305294,202027.712882,287622.016008,5242807.27769,177801.320163
2061,46215.0,138910.841499,198674.738744,282861.159554,5154111.87819,174909.81121
2062,46215.0,136693.591681,195400.34991,278211.885635,5067495.27639,172086.071976
2063,46215.0,134528.308661,192202.704573,273671.579087,4982908.75143,169328.514137
2064,46215.0,132413.774469,189080.004058,269237.685985,4900304.72338,166635.586568
2065,46215.0,130348.799689,186030.491864,264907.712292,4819636.72796,164005.774512
2066,46215.0,128332.222709,183052.452541,260679.222257,4740859.38683,161437.598616
2067,46215.0,126362.909289,180144.211069,256549.837535,4663928.39107,158929.614389
2068,46215.0,124439.751636,177304.131484,252517.235235,4588800.46491,156480.411022
2069,46215.0,122561.66801,174530.616292,248579.147092,4515433.35028,154088.610885
2070,46215.0,120727.601963,171822.105354,244733.357876,4443785.77715,151752.868554
