year,Base case diesel consumed,Suryan lake (chip creek),"Akhiok (unnamed stream, site #2) -- unnamed creek, 2","Akhiok (unnamed stream, site #1) -- unnamed creek, 1",Fraser lake (dog salmon creek),Akhiok (kempff bay creek)
2021,9750.0,0.0,0.0,0.0,0.0,0.0
2022,9833.33333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333
2023,9833.33333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333
2024,9833.33333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333
2025,9833.33333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333
2026,9833.33333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333
2027,9833.33333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333
2028,9833.33333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333
2029,9833.33333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333
2030,9916.66666667,166.666666667,166.666666667,166.666666667,166.666666667,166.666666667
2031,9916.66666667,166.666666667,166.666666667,166.666666667,166.666666667,166.666666667
2032,9916.66666667,166.666666667,166.666666667,166.666666667,166.666666667,166.666666667
2033,9916.66666667,166.666666667,166.666666667,166.666666667,166.666666667,166.666666667
2034,9916.66666667,166.666666667,166.666666667,166.666666667,166.666666667,166.666666667
2035,9916.66666667,166.666666667,166.666666667,166.666666667,166.666666667,166.666666667
2036,9916.66666667,166.666666667,166.666666667,166.666666667,166.666666667,166.666666667
2037,9916.66666667,166.666666667,166.666666667,166.666666667,166.666666667,166.666666667
2038,9916.66666667,166.666666667,166.666666667,166.666666667,166.666666667,166.666666667
2039,9916.66666667,166.666666667,166.666666667,166.666666667,166.666666667,166.666666667
2040,9916.66666667,166.666666667,166.666666667,166.666666667,166.666666667,166.666666667
2041,9916.66666667,166.666666667,166.666666667,166.666666667,166.666666667,166.666666667
2042,9833.33333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333
2043,9833.33333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333
2044,9833.33333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333
2045,9833.33333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333
2046,9833.33333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333
2047,9833.33333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333
2048,9833.33333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333
2049,9750.0,0.0,0.0,0.0,0.0,0.0
2050,9750.0,0.0,0.0,0.0,0.0,0.0
2051,9750.0,0.0,0.0,0.0,0.0,0.0
2052,9750.0,0.0,0.0,0.0,0.0,0.0
2053,9750.0,0.0,0.0,0.0,0.0,0.0
2054,9750.0,0.0,0.0,0.0,0.0,0.0
2055,9750.0,0.0,0.0,0.0,0.0,0.0
2056,9750.0,0.0,0.0,0.0,0.0,0.0
2057,9750.0,0.0,0.0,0.0,0.0,0.0
2058,9750.0,0.0,0.0,0.0,0.0,0.0
2059,9750.0,0.0,0.0,0.0,0.0,0.0
2060,9750.0,0.0,0.0,0.0,0.0,0.0
2061,9750.0,0.0,0.0,0.0,0.0,0.0
2062,9750.0,0.0,0.0,0.0,0.0,0.0
2063,9750.0,0.0,0.0,0.0,0.0,0.0
2064,9750.0,0.0,0.0,0.0,0.0,0.0
2065,9750.0,0.0,0.0,0.0,0.0,0.0
2066,9750.0,0.0,0.0,0.0,0.0,0.0
2067,9750.0,0.0,0.0,0.0,0.0,0.0
2068,9750.0,0.0,0.0,0.0,0.0,0.0
2069,9750.0,0.0,0.0,0.0,0.0,0.0
2070,9750.0,0.0,0.0,0.0,0.0,0.0
