year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,31642.08,9419.22,48891.94,43172.62
2018,31642.08,9413.33,48891.94,43172.62
2019,31642.08,9407.23,48891.94,44415.17
2020,31577.76,9401.27,48891.94,44415.17
2021,31577.76,9395.66,48891.94,44415.17
2022,31577.76,9390.25,48891.94,45657.73
2023,31577.76,9385.14,48891.94,45657.73
2024,31513.45,9380.12,48891.94,45657.73
2025,31513.45,9375.39,48891.94,45657.73
2026,31513.45,9370.9,48891.94,46900.28
2027,31513.45,9366.96,48891.94,46900.28
2028,31449.14,9363.52,48891.94,46900.28
2029,31449.14,9358.93,48891.94,46900.28
2030,31449.14,9355.13,48891.94,46900.28
2031,31449.14,9352.29,48891.94,46900.28
