year,Base case cost,Modeled solar power (pv)
2016,80534.2287771,85461.9948089
2017,95559.0698808,100197.474577
2018,106950.217284,111347.943426
2019,122454.834582,126570.43163
2020,129468.828122,133399.592998
2021,134521.270195,138295.63717
2022,138310.60175,141945.91268
2023,140836.822787,144350.013983
2024,142755.927566,146153.27723
2025,145277.003549,148557.859342
2026,148428.348529,151588.712751
2027,151264.55901,154310.549955
2028,153157.295393,156098.20227
2029,155987.717689,158819.471332
2030,157560.174521,160298.360849
2031,161019.57955,163647.087169
2032,164164.493214,166687.072802
2033,167309.406877,169729.495999
2034,170768.811906,173085.639264
2035,172970.25147,175198.722806
