year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,11673.54,829787.39,593252.19,36507.53,1103942.32,705183.04
2018,12894.22,915643.26,654018.22,37992.64,1148271.18,733499.7
2019,14637.23,1038703.35,744923.68,40108.85,1211809.21,777122.54
2020,15449.29,1095940.6,785642.48,41094.38,1241361.78,796074.34
2021,16052.88,1138868.53,816181.59,41826.06,1263526.21,810288.2
2022,16453.17,1167487.16,836540.99,42311.16,1278302.5,819764.1
2023,16770.4,1190382.06,852828.51,42695.44,1290123.53,827344.82
2024,17004.93,1207553.23,860622.7,42979.41,1298989.3,829776.34
2025,17275.5,1227586.27,874801.44,43307.01,1309332.7,836383.56
2026,17660.42,1256204.89,895056.78,43773.43,1324108.98,845822.44
2027,17909.36,1276237.93,904564.31,44074.75,1334452.38,849086.8
2028,18148.99,1296270.96,913926.16,44365.22,1344795.78,852299.34
2029,18442.58,1319165.86,929963.93,44722.25,1356616.81,859791.22
2030,18601.26,1333475.18,935108.21,44915.52,1364004.95,861056.76
2031,18944.5,1362093.8,950067.97,45334.75,1378781.24,866930.69
2032,19222.63,1387850.56,957769.06,45676.55,1392079.9,868317.99
2033,19529.69,1416469.18,972218.92,46055.95,1406856.18,874010.55
2034,19826.6,1445087.81,981175.48,46425.5,1421632.47,876067.83
2035,19966.42,1462258.98,982071.53,46603.69,1430498.24,874364.36
2036,20262.13,1490877.61,990278.85,46975.57,1445274.53,876155.13
2037,20440.6,1510910.64,997986.11,47204.38,1455617.93,878779.12
2038,20727.37,1539529.27,1005527.42,47569.61,1470394.21,880332.99
2039,20924.09,1562424.17,1008976.05,47826.31,1482215.24,879984.28
2040,21226.45,1593904.65,1017543.91,48217.57,1498469.16,882126.69
