year,Base case diesel consumed,"Sand point (unnamed stream, site #2) -- unnamed creek",Sand point -- humbolt creek
2021,261817.224657,250722.848399,246186.945643
2022,261951.154303,250856.778044,246320.875289
2023,262021.73618,250927.359921,246391.457166
2024,261930.03838,250835.662121,246299.759366
2025,261899.22386,250804.847601,246268.944846
2026,261904.720077,250810.343818,246274.441063
2027,261820.10198,250725.725721,246189.822965
2028,261692.231054,250597.854795,246061.952039
2029,261623.233452,250528.857193,245992.954437
2030,261552.210941,250457.834682,245921.931927
2031,261417.301199,250322.92494,245787.022184
2032,261211.62609,250117.249831,245581.347075
2033,261074.423636,249980.047377,245444.144621
2034,260869.548471,249775.172212,245239.269456
2035,260664.157863,249569.781604,245033.878849
2036,260458.86209,249364.485831,244828.583075
2037,260253.674908,249159.298649,244623.395893
2038,260048.38372,248954.007461,244418.104706
2039,259843.125672,248748.749413,244212.846658
2040,259637.8802,248543.503941,244007.601186
2041,259364.196203,248269.819944,243733.917188
2042,259158.940062,248064.563803,243528.661048
2043,258953.684556,247859.308298,243323.405542
2044,258680.006612,247585.630353,243049.727598
2045,258474.74978,247380.373522,242844.470766
2046,258269.492718,247175.116459,242639.213704
2047,258064.235137,246969.858878,242433.956122
2048,257858.977978,246764.601719,242228.698964
2049,257653.720711,246559.344452,242023.441697
2050,257448.463375,246354.087116,241818.184361
2051,257448.463405,246354.087146,241818.18439
2052,257448.463402,246354.087143,241818.184388
2053,257448.463394,246354.087135,241818.18438
2054,257448.4634,246354.087141,241818.184386
2055,257448.463399,246354.08714,241818.184385
2056,257448.463398,246354.087139,241818.184383
2057,257448.463399,246354.08714,241818.184385
2058,257448.463398,246354.08714,241818.184384
2059,257448.463398,246354.08714,241818.184384
2060,257448.463399,246354.08714,241818.184384
2061,257448.463398,246354.08714,241818.184384
2062,257448.463398,246354.08714,241818.184384
2063,257448.463399,246354.08714,241818.184384
2064,257448.463398,246354.08714,241818.184384
2065,257448.463399,246354.08714,241818.184384
2066,257448.463399,246354.08714,241818.184384
2067,257448.463399,246354.08714,241818.184384
2068,257448.463399,246354.08714,241818.184384
2069,257448.463399,246354.08714,241818.184384
2070,257448.463399,246354.08714,241818.184384
