year,Base case cost,"Sand point (unnamed stream, site #2) -- unnamed creek",Sand point -- humbolt creek
2021,853524.152383,1002004.61732,1189081.55342
2022,880155.878459,1024075.01708,1206840.24393
2023,901354.772459,1040996.81728,1219623.88996
2024,916755.134331,1052402.36395,1227062.69459
2025,934980.22918,1066611.71608,1237351.43932
2026,961190.322683,1088582.41057,1255363.49418
2027,979207.181404,1102736.9903,1265765.77586
2028,997047.400314,1116788.97516,1276146.67051
2029,1017714.37813,1133639.59573,1289364.44375
2030,1030515.71111,1142996.48426,1295289.11561
2031,1056125.89684,1164729.02186,1313459.75917
2032,1078804.01575,1183697.26878,1328981.03172
2033,1104344.81198,1205493.52545,1347361.37948
2034,1129565.14488,1227033.54254,1365555.9242
2035,1144315.65302,1238568.18406,1373978.12545
2036,1169460.29078,1260156.47302,1392356.90125
2037,1186756.75758,1274257.70207,1403437.40112
2038,1211825.46814,1295888.28799,1421988.13471
2039,1231656.41569,1312539.0184,1435703.69623
2040,1259243.71897,1336700.51172,1456867.92982
2041,1257916.35158,1333106.49346,1450787.99153
2042,1256920.8593,1329897.47492,1445151.31673
2043,1255925.3701,1326740.33897,1439623.42268
2044,1254598.03207,1323302.01781,1433869.90807
2045,1253602.53643,1320245.0152,1428551.97438
2046,1252607.03968,1317236.32805,1423335.3467
2047,1251611.54041,1314274.82254,1418217.64929
2048,1250616.04319,1311359.39733,1413196.5679
2049,1249620.54545,1308488.96992,1408269.83563
2050,1248625.04737,1305662.48583,1403435.24134
2051,1248625.04751,1303874.41371,1399686.1241
2052,1248625.0475,1302128.24937,1396024.87663
2053,1248625.04746,1300423.01074,1392449.43964
2054,1248625.04749,1298757.7387,1388957.802
2055,1248625.04748,1297131.49644,1385547.99959
2056,1248625.04748,1295543.36923,1382218.11442
2057,1248625.04748,1293992.46376,1378966.27344
2058,1248625.04748,1292477.90764,1375790.6475
2059,1248625.04748,1290998.84892,1372689.45028
2060,1248625.04748,1289554.45564,1369660.93735
2061,1248625.04748,1288143.91534,1366703.40522
2062,1248625.04748,1286766.43456,1363815.19022
2063,1248625.04748,1285421.23849,1360994.66778
2064,1248625.04748,1284107.57046,1358240.25133
2065,1248625.04748,1282824.69154,1355550.39155
2066,1248625.04748,1281571.88006,1352923.57529
2067,1248625.04748,1280348.43137,1350358.32508
2068,1248625.04748,1279153.65725,1347853.19791
2069,1248625.04748,1277986.88566,1345406.78468
2070,1248625.04748,1276847.46028,1343017.70925
