year,Base case cost,Modeled diesel efficiency
2019,761661.679239,1000118.65276
2020,815743.13999,1042071.92306
2021,853524.152383,1069375.62804
2022,880155.878459,1086708.68076
2023,901354.772459,1099263.98915
2024,916755.134331,1106705.3206
2025,934980.22918,1116868.31767
2026,961190.322683,1134440.52797
2027,979207.181404,1144710.94799
2028,997047.400314,1154963.95537
2029,1017714.37813,1167926.55697
2030,1030515.71111,1173875.10897
2031,1056125.89684,1191601.40902
2032,1078804.01575,1206792.40517
2033,1104344.81198,1224712.99486
2034,1129565.14488,1242466.43355
2035,1144315.65302,1250823.11852
2036,1169460.29078,1268747.43883
2037,1186756.75758,1279652.70925
2038,1211825.46814,1297736.59619
