year,Base case cost,Modeled non-residential energy efficiency
2017,1933729.71754,1991392.82469
2018,2063914.44696,2102354.34566
2019,2250512.55914,2265025.14707
2020,2337302.37875,2336721.15992
2021,2402394.74346,2388777.98003
2022,2445789.65327,2421191.44879
2023,2480505.58112,2445847.48075
2024,2506542.527,2462742.10995
2025,2536918.96387,2483761.43916
2026,2580313.87368,2516828.3366
2027,2610690.31054,2538159.15723
2028,2641066.74741,2559640.26985
2029,2675782.67526,2585231.47713
2030,2697480.13016,2599076.03831
2031,2740875.03997,2632877.1959
