year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,3818505
2004,,0,0,0,0,0,4145171
2005,,0,0,0,0,0,4198450
2006,,0,0,0,0,0,4259600
2007,,0,0,0,0,0,4204200
2008,,0,0,0,0,0,4343500
2009,,0,0,0,0,0,4380218
2010,,0,0,0,0,0,4321385
2011,,0,0,0,0,0,4457235
2012,,0,0,582906,0,0,4025673
2013,,0,0,765764,0,0,3251934
2014,start of forecast,0,0,449557,0,0,3952443
2015,,0,0,599409,0,0,3803591
2016,,0,0,604910,0,0,3799090
2017,,0,0,551292,0,0,3853708
2018,,0,0,585204,0,0,3820796
2019,,0,0,580468,0,0,3825532
2020,,0,0,572321,0,0,3833679
2021,,0,0,579331,0,0,3826669
2022,,0,0,577374,0,0,3828626
2023,,0,0,576342,0,0,3829658
2024,,0,0,577682,0,0,3828318
2025,,0,0,577133,0,0,3827867
2026,,0,0,577052,0,0,3827948
2027,,0,0,577289,0,0,3826711
2028,,0,0,577158,0,0,3824842
2029,,0,0,577166,0,0,3823834
2030,,0,0,577204,0,0,3822796
2031,,0,0,577176,0,0,3820824
2032,,0,0,577182,0,0,3817818
2033,,0,0,577188,0,0,3815812
2034,,0,0,577182,0,0,3812818
2035,,0,0,577184,0,0,3809816
2036,,0,0,577185,0,0,3806815
2037,,0,0,577184,0,0,3803816
2038,,0,0,577184,0,0,3800816
2039,,0,0,577184,0,0,3797816
2040,,0,0,577184,0,0,3794816
