year,Base case cost,Modeled water and wastewater efficiency
2017,48181.0753895,41671.5208624
2018,50886.867592,43284.9847662
2019,54746.0755292,45641.4216663
2020,56543.66974,46676.5499753
2021,57878.9440769,47417.3724838
2022,58764.3256963,47872.0401644
2023,59465.8423869,48211.2945963
2024,59984.344393,48435.6332518
2025,60582.5084271,48713.6485918
2026,61433.8464912,49156.7410114
2027,61984.1084827,49408.8918537
2028,62514.2062984,49650.5715449
2029,63164.8252623,49972.2208141
2030,63516.7771663,50104.3174287
2031,64279.2511591,50502.7340015
