year,Base case cost,Modeled solar power (pv)
2016,132444.493377,139690.97611
2017,158815.185119,165618.751777
2018,178547.558107,185042.421357
2019,206068.839301,212122.766923
2020,219088.128829,224969.607119
2021,228959.430802,234727.80388
2022,236665.704335,242356.575807
2023,242729.515362,248377.658197
2024,247887.492969,253504.86744
2025,253379.944255,258967.324393
2026,259968.682206,265505.186924
2027,266237.899421,271735.364126
2028,271565.868356,277035.85646
2029,277935.821173,283368.498993
2030,282980.471228,288397.689212
2031,289817.900196,295189.012241
2032,297402.189212,302717.916372
2033,304343.501769,309615.260325
2034,312037.970349,317256.618002
2035,316611.996265,321818.959087
