year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,
2004,,1.83,3.6
2005,,2.28,3.6
2006,,2.82,4.42
2008,,3.9,4.44
2009,,5.12,5.32
2010,,2.98,4.9
2011,,3.43,4.55
2012,,3.96,5.0
2013,,3.75,6.0
2014,,,6.0
2016,start of forecast,2.07,4.53
2017,,2.47,4.93
2018,,2.76,5.22
2019,,3.17,5.63
2020,,3.35,5.81
2021,,3.48,5.94
2022,,3.58,6.04
2023,,3.65,6.11
2024,,3.71,6.17
2025,,3.77,6.23
2026,,3.85,6.31
2027,,3.92,6.38
2028,,3.98,6.44
2029,,4.05,6.51
2030,,4.1,6.56
2031,,4.18,6.64
2032,,4.27,6.73
2033,,4.35,6.81
2034,,4.44,6.9
2035,,4.49,6.95
2036,,4.58,7.04
2037,,4.64,7.1
2038,,4.73,7.19
2039,,4.8,7.26
2040,,4.89,7.35
