year,Base case cost,Modeled diesel efficiency
2019,206068.839301,388439.56027
2020,219088.128829,400275.278022
2021,228959.430802,409249.188907
2022,236665.704335,416254.892119
2023,242729.515362,421767.447598
2024,247887.492969,426456.51815
2025,253379.944255,431449.655682
2026,259968.682206,437439.417456
2027,266237.899421,443138.705833
2028,271565.868356,447982.313956
2029,277935.821173,453773.180153
2030,282980.471228,458359.225658
2031,289817.900196,464575.070175
2032,297402.189212,471469.87837
2033,304343.501769,477780.162513
2034,312037.970349,484775.13395
2035,316611.996265,488933.339328
2036,324400.117475,496013.449519
2037,330110.566898,501204.767176
2038,338002.571697,508379.316993
