year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,405463.68,27132.59,152877.23,120336.34
2018,408099.76,27586.03,152877.23,124937.49
2019,412776.19,28051.01,152877.23,129538.64
2020,417244.81,28525.05,152877.23,134139.8
2021,421371.03,29007.52,152877.23,138740.95
2022,425969.06,29499.78,152877.23,143342.1
2023,430540.96,30003.52,152877.23,148863.49
2024,435122.39,30516.39,152877.23,154384.87
2025,439930.25,31036.92,152877.23,158986.03
2026,444633.77,31561.2,152877.23,164507.41
2027,449480.76,32090.81,152877.23,170028.8
2028,454341.57,32627.16,152877.23,175550.18
2029,459344.52,33177.24,152877.23,181071.57
2030,464422.38,33736.43,152877.23,186592.95
2031,469577.2,34302.93,152877.23,192114.33
2032,474730.43,,,197635.72
2033,480033.35,,,203157.1
2034,485411.28,,,209598.72
2035,490938.28,,,216040.33
2036,496614.76,,,221561.72
