year,Base case diesel consumed,Port alsworth hydropower preconstruction phase -- tanalian falls,Lachbuna lake
2021,60935.4701116,0.0,0.0
2022,60935.4701116,0.0,0.0
2023,60935.4701116,0.0,0.0
2024,60935.4701116,0.0,0.0
2025,60935.4701116,0.0,0.0
2026,60935.4701116,0.0,0.0
2027,61018.6017215,83.1316099748,83.1316099748
2028,61018.6017215,83.1316099748,83.1316099748
2029,61101.7333315,166.26321995,166.26321995
2030,61184.8649415,249.394829925,249.394829925
2031,61267.9965515,332.526439899,332.526439899
2032,61267.9965515,332.526439899,332.526439899
2033,61267.9965515,332.526439899,332.526439899
2034,61184.8649415,249.394829925,249.394829925
2035,61184.8649415,249.394829925,249.394829925
2036,61267.9965515,332.526439899,332.526439899
2037,61267.9965515,332.526439899,332.526439899
2038,61351.1281614,415.658049874,415.658049874
2039,61434.2597714,498.789659849,498.789659849
2040,61434.2597714,498.789659849,498.789659849
2041,61434.2597714,498.789659849,498.789659849
2042,61434.2597714,498.789659849,498.789659849
2043,61434.2597714,498.789659849,498.789659849
2044,61517.3913814,581.921269824,581.921269824
2045,61517.3913814,581.921269824,581.921269824
2046,61600.5229914,665.052879799,665.052879799
2047,61600.5229914,665.052879799,665.052879799
2048,61600.5229914,665.052879799,665.052879799
2049,61683.6546013,748.184489774,748.184489774
2050,61683.6546013,748.184489774,748.184489774
2051,61683.6546013,748.184489774,748.184489774
2052,61683.6546013,748.184489774,748.184489774
2053,61683.6546013,748.184489774,748.184489774
2054,61683.6546013,748.184489774,748.184489774
2055,61683.6546013,748.184489774,748.184489774
2056,61683.6546013,748.184489774,748.184489774
2057,61683.6546013,748.184489774,748.184489774
2058,61683.6546013,748.184489774,748.184489774
2059,61683.6546013,748.184489774,748.184489774
2060,61683.6546013,748.184489774,748.184489774
2061,61683.6546013,748.184489774,748.184489774
2062,61683.6546013,748.184489774,748.184489774
2063,61683.6546013,748.184489774,748.184489774
2064,61683.6546013,748.184489774,748.184489774
2065,61683.6546013,748.184489774,748.184489774
2066,61683.6546013,748.184489774,748.184489774
2067,61683.6546013,748.184489774,748.184489774
2068,61683.6546013,748.184489774,748.184489774
2069,61683.6546013,748.184489774,748.184489774
2070,61683.6546013,748.184489774,748.184489774
