year,Base case cost,Modeled biomass for heat (cordwood)
2017,376009.863325,393015.666696
2018,400629.563325,414758.061926
2019,441026.159975,451346.742847
2020,456737.679975,465135.968327
2021,467450.079975,474439.403258
2022,475305.839975,481182.696398
2023,481019.119975,486007.612812
2024,485304.079975,489555.92176
2025,490303.199975,493753.284585
2026,496730.639975,499241.478641
2027,502443.919975,504094.509216
2028,506728.879975,507670.273401
2029,520873.496625,520895.512614
2030,524497.996625,523895.814052
2031,531022.096625,529513.0183
2032,537546.196625,535136.244853
2033,544070.296625,540765.352564
2034,550594.396625,546400.203593
2035,554943.796625,550082.611352
2036,562192.796625,556381.232336
