year,Base case cost,Port alsworth hydropower preconstruction phase -- tanalian falls,Lachbuna lake
2021,321129.927488,,14858623.8864
2022,327832.8292,,14430444.3414
2023,332707.666809,,14028540.1562
2024,336363.795016,,13646789.665
2025,340629.277924,,13267231.394
2026,346113.470234,,12883752.9156
2027,351467.145916,,12514414.07
2028,355128.262019,,12164003.0449
2029,361111.243989,,11803699.1484
2030,364661.795051,,11474296.3062
2031,370671.379136,,11128264.2759
2032,376185.498826,,10788609.9972
2033,381699.618516,,10455667.8449
2034,386688.34643,,10128755.1111
2035,390359.438327,,9826520.71621
2036,397016.617653,,9507397.16938
2037,400692.697447,,9217523.55952
2038,406757.97971,,8916405.92127
2039,411609.540468,,8632959.59965
2040,418367.309043,,8330978.48382
2041,418367.309043,,8099639.32066
2042,418367.309043,,7873722.16914
2043,418367.309043,,7653099.94878
2044,418933.435307,,7438214.68947
2045,418933.435307,,7227812.94603
2046,419499.561571,,7022908.6196
2047,419499.561571,,6822253.88139
2048,419499.561571,,6626301.98693
2049,420065.687835,,6435508.8419
2050,420065.687835,,6248634.5537
2051,420065.687835,,6066140.13187
2052,420065.687835,,5887922.92232
2053,420065.687835,,5713882.68004
2054,420065.687835,,5543921.5048
2055,420065.687835,,5377943.7947
2056,420065.687835,,5215856.18727
2057,420065.687835,,5057567.50764
2058,420065.687835,,4902988.72038
2059,420065.687835,,4752032.87231
2060,420065.687835,,4604615.05142
2061,420065.687835,,4460652.33691
2062,420065.687835,,4320063.74736
2063,420065.687835,,4182770.20325
2064,420065.687835,,4048694.47696
2065,420065.687835,,3917761.15168
2066,420065.687835,,3789896.5732
2067,420065.687835,,3665028.82312
2068,420065.687835,,3543087.65992
2069,420065.687835,,3424004.49398
2070,420065.687835,,3307712.33933
