year,Base case diesel consumed,Modeled residential energy efficiency
2017,42628.6923627,33135.0592178
2018,42628.6923627,33135.0592178
2019,43702.7867297,34209.1535848
2020,43702.7867297,34209.1535848
2021,43702.7867297,34209.1535848
2022,43702.7867297,34209.1535848
2023,43702.7867297,34209.1535848
2024,43702.7867297,34209.1535848
2025,43702.7867297,34209.1535848
2026,43702.7867297,34209.1535848
2027,43702.7867297,34209.1535848
2028,43702.7867297,34209.1535848
2029,44776.8810966,35283.2479518
2030,44776.8810966,35283.2479518
2031,44776.8810966,35283.2479518
2032,44776.8810966,35283.2479518
2033,44776.8810966,35283.2479518
2034,44776.8810966,35283.2479518
2035,44776.8810966,35283.2479518
2036,44776.8810966,35283.2479518
