year,Base case diesel consumed,Modeled solar power
2020,60935.4701116,59794.8186292
2021,60935.4701116,59803.943841
2022,60935.4701116,59812.9960512
2023,60935.4701116,59821.9758437
2024,60935.4701116,59830.8837978
2025,60935.4701116,59839.7204883
2026,60935.4701116,59848.4864853
2027,61018.6017215,59940.3139643
2028,61018.6017215,59948.9402664
2029,61101.7333315,60040.629168
2030,61184.8649415,60132.2496113
2031,61267.9965515,60223.8021439
2032,61267.9965515,60232.1556991
2033,61267.9965515,60240.442426
2034,61184.8649415,60165.531249
2035,61184.8649415,60173.6859185
2036,61267.9965515,60264.9069607
2037,61267.9965515,60272.9316774
2038,61351.1281614,60364.0238064
2039,61434.2597714,60455.0522512
