year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,643810
2004,,0,0,0,0,0,646437
2005,,0,0,0,0,0,628383
2006,,0,0,0,0,0,627488
2007,,0,0,0,0,0,622816
2008,,0,0,0,0,0,607191
2009,,0,0,0,0,0,588233
2010,,0,0,0,0,0,635007
2011,,0,0,0,0,0,664080
2012,,0,0,0,0,0,777126
2013,,0,0,0,0,0,783837
2014,start of forecast,0,0,0,0,0,733000
2015,,0,0,0,0,0,732000
2016,,0,0,0,0,0,733000
2017,,0,0,0,0,0,733000
2018,,0,0,0,0,0,733000
2019,,0,0,0,0,0,733000
2020,,0,0,0,0,0,733000
2021,,0,0,0,0,0,733000
2022,,0,0,0,0,0,733000
2023,,0,0,0,0,0,733000
2024,,0,0,0,0,0,733000
2025,,0,0,0,0,0,733000
2026,,0,0,0,0,0,733000
2027,,0,0,0,0,0,734000
2028,,0,0,0,0,0,734000
2029,,0,0,0,0,0,735000
2030,,0,0,0,0,0,736000
2031,,0,0,0,0,0,737000
2032,,0,0,0,0,0,737000
2033,,0,0,0,0,0,737000
2034,,0,0,0,0,0,736000
2035,,0,0,0,0,0,736000
2036,,0,0,0,0,0,737000
2037,,0,0,0,0,0,737000
2038,,0,0,0,0,0,738000
2039,,0,0,0,0,0,739000
2040,,0,0,0,0,0,739000
