year,Base case cost,Modeled solar power
2020,311989.606971,313881.453971
2021,321129.927488,322734.468847
2022,327832.8292,329201.209412
2023,332707.666809,333878.696335
2024,336363.795016,337364.326327
2025,340629.277924,341452.659142
2026,346113.470234,346742.34742
2027,351467.145916,351916.940326
2028,355128.262019,355424.735468
2029,361111.243989,361226.496539
2030,364661.795051,364642.286859
2031,370671.379136,370478.933138
2032,376185.498826,375824.292905
2033,381699.618516,381173.743246
2034,386688.34643,386001.806942
2035,390359.438327,389546.491508
2036,397016.617653,396040.494243
2037,400692.697447,399597.122082
2038,406757.97971,405516.544146
2039,411609.540468,410245.436568
