year,Base case cost,Modeled non-residential energy efficiency
2017,922017.257789,949236.726757
2018,974735.988267,994043.869374
2019,1045027.6289,1054902.4309
2020,1078575.91193,1082423.76341
2021,1100941.43396,1099847.09762
2022,1118514.34411,1112981.02232
2023,1129697.10513,1120371.38088
2024,1140879.86614,1127826.83799
2025,1152062.62715,1135345.86794
2026,1166440.46273,1145832.09425
2027,1179220.76103,1154926.39155
2028,1188805.98475,1161174.78213
2029,1201586.28305,1170386.10536
2030,1209573.96949,1175296.22232
2031,1223951.80507,1186071.70697
