year,Base case cost,"Russian mission -- unnamed creek, 5"
2021,335855.854839,1308581.61324
2022,348970.769374,1290857.93353
2023,358720.682687,1272911.53962
2024,368595.006257,1255632.61362
2025,378593.740082,1239008.42785
2026,390550.454373,1223567.02487
2027,401420.059994,1208190.82399
2028,410553.846323,1192865.81009
2029,421999.589917,1179041.98753
2030,430399.50384,1164583.00991
2031,442713.897618,1151912.30394
2032,456141.318869,1140157.2833
2033,468400.912891,1128319.66304
2034,481775.015461,1117378.39941
2035,491710.803621,1106003.37368
2036,505358.90497,1096163.01646
2037,515138.439772,1085439.2645
2038,529053.134528,1076654.10136
2039,539666.514263,1066887.76319
2040,554873.446504,1059500.3568
2041,558479.12233,1047986.59919
2042,562084.798155,1036827.2033
2043,565690.473981,1026013.86365
2044,569296.149807,1015538.46976
2045,572501.194985,1004992.47033
2046,576106.870811,995169.391633
2047,579311.915989,985260.418777
2048,582516.961168,975658.80561
2049,585321.375699,965956.717891
2050,588125.79023,956547.751331
2051,588125.79023,944620.621374
2052,588125.79023,932973.033478
2053,588125.79023,921598.436016
2054,588125.79023,910490.430608
2055,588125.79023,899642.769082
2056,588125.79023,889049.349629
2057,588125.79023,878704.213413
2058,588125.79023,868601.541421
2059,588125.79023,858735.650728
2060,588125.79023,849100.991816
2061,588125.79023,839692.145301
2062,588125.79023,830503.81855
2063,588125.79023,821530.843232
2064,588125.79023,812768.172048
2065,588125.79023,804210.876046
2066,588125.79023,795854.141472
2067,588125.79023,787693.268018
2068,588125.79023,779723.66497
2069,588125.79023,771940.849575
2070,588125.79023,764340.443887
