year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,103647.765601,76811.546545
2018,103647.765601,76811.546545
2019,103647.765601,76811.546545
2020,103647.765601,76811.546545
2021,103647.765601,76811.546545
2022,103647.765601,76811.546545
2023,103647.765601,76811.546545
2024,103647.765601,76811.546545
2025,103647.765601,76811.546545
2026,103647.765601,76811.546545
2027,103647.765601,76811.546545
2028,103647.765601,76811.546545
2029,103647.765601,76811.546545
2030,103647.765601,76811.546545
2031,103647.765601,76811.546545
