year,Base case cost,Modeled solar power
2020,320346.042867,326543.06391
2021,335855.854839,341617.709886
2022,348970.769374,354354.16504
2023,358720.682687,363796.652885
2024,368595.006257,373370.814709
2025,378593.740082,383076.493332
2026,390550.454373,394716.552518
2027,401420.059994,405291.948544
2028,410553.846323,414168.48714
2029,421999.589917,425333.425993
2030,430399.50384,433503.523074
2031,442713.897618,445535.157365
2032,456141.318869,458671.829343
2033,468400.912891,470661.778841
2034,481775.015461,483758.206815
2035,491710.803621,493479.557892
2036,505358.90497,506862.185556
2037,515138.439772,516438.322268
2038,529053.134528,530099.244874
2039,539666.514263,540506.02966
