year,Base case diesel consumed,Modeled diesel efficiency
2019,85457.9975931,77689.088721
2020,86346.6422822,78496.9475292
2021,87235.2869712,79304.8063374
2022,88123.9316602,80112.6651456
2023,89012.5763492,80920.5239538
2024,89901.2210382,81728.382762
2025,90789.8657272,82536.2415702
2026,91678.5104162,83344.1003784
2027,92493.1013811,84084.6376192
2028,93307.6923461,84825.1748601
2029,94196.3370351,85633.0336683
2030,95010.928,86373.5709091
2031,95825.5189649,87114.1081499
2032,96640.1099299,87854.6453908
2033,97380.6471707,88527.8610643
2034,98121.1844115,89201.0767378
2035,98935.7753765,89941.6139786
2036,99676.3126173,90614.8296521
2037,100416.849858,91288.0453256
2038,101157.387099,91961.2609991
