year,Base case cost,Modeled water and wastewater efficiency
2017,30732.0484351,19537.8704694
2018,32516.4837165,20531.7574509
2019,34865.9334232,21839.5676094
2020,36073.0838578,22516.5394619
2021,36933.4528135,23002.2187856
2022,37647.2691031,23407.4098957
2023,38162.1221677,23702.9456735
2024,38679.6019898,24000.3885074
2025,39198.2246759,24298.7181645
2026,39819.8581994,24654.3527344
2027,40390.4405298,24981.7689771
2028,40857.673411,25251.8682056
2029,41432.7348526,25582.516968
2030,41851.0155336,25825.9976041
2031,42478.8959846,26186.27163
