year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2004,,1.62,2.3
2005,,1.82,3.85
2008,,3.13,5.22
2009,,3.89,6.15
2010,,2.49,4.95
2011,,2.93,5.35
2012,,3.82,5.75
2013,,3.66,5.75
2014,,,5.8
2016,,2.29,4.49
2017,,2.73,4.93
2018,,3.06,5.26
2019,,3.5,5.7
2020,,3.71,5.91
2021,,3.85,6.05
2022,,3.96,6.16
2023,,4.03,6.23
2024,,4.1,6.3
2025,,4.17,6.37
2026,,4.26,6.46
2027,,4.34,6.54
2028,,4.4,6.6
2029,,4.48,6.68
2030,,4.53,6.73
2031,,4.62,6.82
2032,,4.72,6.92
2033,,4.81,7.01
2034,,4.91,7.11
2035,,4.97,7.17
2036,,5.07,7.27
2037,,5.13,7.33
2038,,5.23,7.43
2039,,5.3,7.5
2040,,5.41,7.61
