year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,83606.65,2390.35,103647.77,54438.96
2018,84569.35,2397.86,103647.77,55464.42
2019,85458.0,2405.33,103647.77,56489.87
2020,86346.64,2412.72,103647.77,58540.78
2021,87235.29,2420.06,103647.77,59566.24
2022,88123.93,2427.4,103647.77,60591.69
2023,89012.58,2434.76,103647.77,62642.6
2024,89901.22,2442.12,103647.77,63668.05
2025,90789.87,2449.4,103647.77,64693.51
2026,91678.51,2456.53,103647.77,65718.96
2027,92493.1,2463.55,103647.77,67769.87
2028,93307.69,2470.45,103647.77,68795.33
2029,94196.34,2477.41,103647.77,69820.78
2030,95010.93,2484.25,103647.77,70846.23
2031,95825.52,2490.97,103647.77,71871.69
2032,96640.11,2497.49,103647.77,73922.6
2033,97380.65,2503.89,103647.77,74948.05
2034,98121.18,2510.19,103647.77,75973.51
2035,98935.78,2516.44,103647.77,76998.96
2036,99676.31,2522.67,103647.77,78024.41
2037,100416.85,2528.82,103647.77,79049.87
2038,101157.39,2534.85,103647.77,80075.32
2039,101823.87,2540.72,103647.77,81100.78
2040,102564.41,2546.47,103647.77,82126.23
