year,Base case diesel consumed,"Russian mission -- unnamed creek, 5"
2021,87235.2869712,15480.4713329
2022,88123.9316602,16369.1160219
2023,89012.5763492,17257.7607109
2024,89901.2210382,18146.4053999
2025,90789.8657272,19035.050089
2026,91678.5104162,19923.694778
2027,92493.1013811,20738.2857429
2028,93307.6923461,21552.8767078
2029,94196.3370351,22441.5213968
2030,95010.928,23256.1123618
2031,95825.5189649,24070.7033267
2032,96640.1099299,24885.2942916
2033,97380.6471707,25625.8315324
2034,98121.1844115,26366.3687733
2035,98935.7753765,27180.9597382
2036,99676.3126173,27921.4969791
2037,100416.849858,28662.0342199
2038,101157.387099,29402.5714607
2039,101823.870616,30069.0549775
2040,102564.407857,30809.5922183
2041,103230.891373,31476.0757351
2042,103897.37489,32142.5592519
2043,104563.858407,32809.0427686
2044,105230.341924,33475.5262854
2045,105822.771716,34067.956078
2046,106489.255233,34734.4395948
2047,107081.685026,35326.8693875
2048,107674.114818,35919.2991801
2049,108192.490887,36437.6752487
2050,108710.866956,36956.0513173
2051,108710.866956,36956.0513173
2052,108710.866956,36956.0513173
2053,108710.866956,36956.0513173
2054,108710.866956,36956.0513173
2055,108710.866956,36956.0513173
2056,108710.866956,36956.0513173
2057,108710.866956,36956.0513173
2058,108710.866956,36956.0513173
2059,108710.866956,36956.0513173
2060,108710.866956,36956.0513173
2061,108710.866956,36956.0513173
2062,108710.866956,36956.0513173
2063,108710.866956,36956.0513173
2064,108710.866956,36956.0513173
2065,108710.866956,36956.0513173
2066,108710.866956,36956.0513173
2067,108710.866956,36956.0513173
2068,108710.866956,36956.0513173
2069,108710.866956,36956.0513173
2070,108710.866956,36956.0513173
