year,Base case diesel consumed,Modeled solar power
2020,86346.6422822,84743.5813833
2021,87235.2869712,85645.0505595
2022,88123.9316602,86546.4171398
2023,89012.5763492,87447.6819449
2024,89901.2210382,88348.8457892
2025,90789.8657272,89249.9094802
2026,91678.5104162,90150.8738192
2027,92493.1013811,90977.6858769
2028,93307.6923461,91804.4001658
2029,94196.3370351,92705.0711923
2030,95010.928,93531.592284
2031,95825.5189649,94358.0179346
2032,96640.1099299,95184.3489078
2033,97380.6471707,95936.5322368
2034,98121.1844115,96688.6223971
2035,98935.7753765,97514.6738582
2036,99676.3126173,98266.5799111
2037,100416.849858,99018.3950136
2038,101157.387099,99770.1198932
2039,101823.870616,100447.701548
