year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,304311.64,11633.93,228033.96,96949.18
2018,305031.22,11635.05,228033.96,98056.17
2019,305462.97,11635.74,228033.96,98056.17
2020,305750.81,11636.22,228033.96,98056.17
2021,305966.68,11636.52,228033.96,98056.17
2022,305894.72,11636.41,228033.96,98056.17
2023,305606.89,11635.99,228033.96,98056.17
2024,305175.14,11635.31,228033.96,98056.17
2025,304671.43,11634.54,228033.96,96949.18
2026,304167.73,11633.68,228033.96,96949.18
2027,303520.1,11632.75,228033.96,96949.18
2028,302872.48,11631.66,228033.96,96949.18
2029,301721.14,11629.83,228033.96,95842.18
2030,300497.85,11627.93,228033.96,95842.18
2031,299346.52,11626.15,228033.96,94735.19
2032,298411.06,,,94735.19
2033,297475.6,,,94735.19
2034,296468.19,,,93628.2
2035,295316.85,,,93628.2
2036,294021.61,,,93628.2
