year,Base case cost,Modeled solar power (pv)
2016,658326.319118,700348.438345
2017,754692.871659,794278.842353
2018,823584.306898,861193.889829
2019,913334.293947,948689.807266
2020,953942.520199,987809.397807
2021,982153.051305,1014742.28065
2022,1003334.69587,1034763.63938
2023,1017670.94756,1048054.22682
2024,1025388.47501,1054838.0183
2025,1038929.58751,1067381.5525
2026,1052420.3292,1079898.29761
2027,1065355.55283,1091882.57878
2028,1075197.28923,1100838.16177
2029,1086196.11507,1110930.28018
2030,1090807.20279,1114739.35969
2031,1104588.65601,1127614.80359
2032,1116057.36953,1138239.68045
2033,1130407.29329,1151725.31568
2034,1141402.52121,1161916.85309
2035,1148782.56424,1168552.39017
