year,annotation,Average Load
2003,,395.0
2004,,413.0
2005,,396.0
2006,,401.0
2007,,376.0
2008,,388.0
2009,,366.0
2010,,403.0
2011,,380.0
2012,,430.0
2013,,432.0
2014,,429.0
2015,,406.0
2016,start of forecast,424.0
2017,,425.0
2018,,426.0
2019,,427.0
2020,,427.0
2021,,427.0
2022,,427.0
2023,,427.0
2024,,426.0
2025,,426.0
2026,,425.0
2027,,424.0
2028,,423.0
2029,,421.0
2030,,420.0
2031,,418.0
2032,,417.0
2033,,416.0
2034,,414.0
2035,,413.0
2036,,411.0
2037,,409.0
2038,,407.0
2039,,405.0
2040,,403.0
