year,Base case cost,Modeled wind power
2019,913334.293947,1324559.11865
2020,953942.520199,1348184.60497
2021,982153.051305,1361426.93639
2022,1003334.69587,1368773.82038
2023,1017670.94756,1370402.69102
2024,1025388.47501,1366534.29931
2025,1038929.58751,1367855.38346
2026,1052420.3292,1369361.24028
2027,1065355.55283,1370541.21131
2028,1075197.28923,1369289.39343
2029,1086196.11507,1368976.21139
2030,1090807.20279,1363364.04913
2031,1104588.65601,1365818.75746
2032,1116057.36953,1366602.12867
2033,1130407.29329,1370028.43626
2034,1141402.52121,1370732.00226
2035,1148782.56424,1368447.77877
2036,1161385.34054,1370696.88791
2037,1164191.71415,1364643.08652
2038,1175637.40102,1366093.15648
