year,Base case diesel consumed,Modeled wind power
2019,305462.974564,254151.811295
2020,305750.807756,254439.644487
2021,305966.68265,254655.51938
2022,305894.724352,254583.561082
2023,305606.89116,254295.727891
2024,305175.141373,253863.978104
2025,304671.433288,253360.270018
2026,304167.725202,252856.561933
2027,303520.100521,252208.937252
2028,302872.47584,251561.312571
2029,301721.143074,250409.979805
2030,300497.85201,249186.68874
2031,299346.519243,248035.355974
2032,298411.061371,247099.898101
2033,297475.603498,246164.440229
2034,296468.187327,245157.024058
2035,295316.854561,244005.691292
2036,294021.605199,242710.44193
2037,292510.480943,241199.317674
2038,290999.356687,239688.193418
