year,Base case diesel consumed,Modeled residential ashp
2017,5465.99182176,-29112.9765265
2018,5465.99182176,-29112.9765265
2019,5465.99182176,-29112.9765265
2020,5616.09023489,-28962.8781133
2021,5616.09023489,-28962.8781133
2022,5616.09023489,-28962.8781133
2023,5616.09023489,-28962.8781133
2024,5616.09023489,-28962.8781133
2025,5766.18864802,-28812.7797002
2026,5766.18864802,-28812.7797002
2027,5766.18864802,-28812.7797002
2028,5766.18864802,-28812.7797002
2029,5916.28706114,-28662.6812871
2030,6066.38547427,-28512.5828739
2031,6066.38547427,-28512.5828739
