year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,32166.67,1797.69,30669.6,26550.87
2018,32166.67,1802.81,30669.6,27332.52
2019,32166.67,1809.62,30669.6,27332.52
2020,32166.67,1816.25,30669.6,27332.52
2021,32166.67,1822.3,30669.6,27332.52
2022,32166.67,1828.96,30669.6,27332.52
2023,32166.67,1835.36,30669.6,27332.52
2024,32166.67,1842.84,30669.6,28114.17
2025,32166.67,1850.79,30669.6,28114.17
2026,32166.67,1859.47,30669.6,28114.17
2027,32166.67,1867.87,30669.6,28114.17
2028,32166.67,1876.34,30669.6,28114.17
2029,32166.67,1892.77,30669.6,28895.82
2030,32166.67,1909.21,30669.6,28895.82
2031,32250.0,1922.1,30669.6,28895.82
