year,Base case cost,Modeled biomass for heat (pellet)
2017,518757.102561,540391.847083
2018,567347.382561,584981.637497
2019,633934.062561,646234.974715
2020,662929.63798,672320.933492
2021,678987.900838,686417.222571
2022,696704.200838,702448.138891
2023,701744.396257,706347.689336
2024,706612.539115,710083.053293
2025,717074.259115,719419.676108
2026,725153.634534,726113.114094
2027,731293.389953,731008.428893
2028,735531.202811,734143.126248
2029,741292.88823,738674.511678
2030,743506.911088,739933.399205
2031,750564.126507,745639.629233
2032,757392.739365,751123.763365
2033,765633.464784,757892.193262
2034,780317.774784,771110.41298
2035,783327.730202,773062.850802
2036,790975.523061,779256.530958
