year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,179964.0,166546.903888
2018,179964.0,166546.903888
2019,179964.0,166546.903888
2020,178564.0,165146.903888
2021,177163.0,163745.903888
2022,177163.0,163745.903888
2023,175763.0,162345.903888
2024,174362.0,160944.903888
2025,174362.0,160944.903888
2026,172962.0,159544.903888
2027,171562.0,158144.903888
2028,170161.0,156743.903888
2029,168761.0,155343.903888
2030,167360.0,153942.903888
2031,165960.0,152542.903888
2032,164559.0,151141.903888
2033,163159.0,149741.903888
2034,163159.0,149741.903888
2035,161759.0,148341.903888
2036,160358.0,146940.903888
