year,Base case cost,Modeled non-residential energy efficiency
2017,450441.285888,400817.765956
2018,466154.864977,414972.082096
2019,487688.288172,434667.882866
2020,498745.991976,444438.444256
2021,505729.804904,450359.40785
2022,511549.649011,455192.216193
2023,515041.555475,457831.744473
2024,518533.46194,460487.085568
2025,522025.368404,463157.868874
2026,526681.243689,466948.468657
2027,530755.134564,470201.427174
2028,534247.041028,472916.399273
2029,538320.931903,476197.78407
2030,541230.853957,478388.148112
2031,545886.729242,482249.010423
