year,annotation,consumption kWh,residential kWh,non-residential kWh
2003,,2849352.0,875822.0,1973530.0
2004,,2674484.0,847564.0,1826920.0
2005,,2487014.0,769950.0,1717064.0
2006,,2571272.0,751612.0,1819660.0
2007,,2427346.0,692204.0,1735142.0
2008,,2643360.0,691506.0,1951854.0
2009,,2507376.0,721648.0,1785728.0
2010,,2317694.0,685316.0,1632378.0
2011,,2371342.0,715612.0,1655730.0
2012,,2377562.0,747492.0,1630070.0
2013,,2298286.0,743534.0,1554752.0
2014,start of forecast,2321718.0,708200.0,1613517.0
2015,,2320486.0,706969.0,1613517.0
2016,,2319416.0,705899.0,1613517.0
2017,,2318361.0,704843.0,1613517.0
2018,,2317501.0,703984.0,1613517.0
2019,,2317173.0,703656.0,1613517.0
2020,,2316691.0,703174.0,1613517.0
2021,,2316187.0,702670.0,1613517.0
2022,,2315849.0,702332.0,1613517.0
2023,,2315490.0,701973.0,1613517.0
2024,,2315303.0,701786.0,1613517.0
2025,,2315184.0,701667.0,1613517.0
2026,,2315203.0,701686.0,1613517.0
2027,,2315183.0,701665.0,1613517.0
2028,,2315160.0,701643.0,1613517.0
2029,,2316264.0,702746.0,1613517.0
2030,,2317149.0,703632.0,1613517.0
2031,,2317712.0,704195.0,1613517.0
2032,,2317444.0,703926.0,1613517.0
2033,,2317021.0,703503.0,1613517.0
2034,,2316588.0,703070.0,1613517.0
2035,,2316406.0,702889.0,1613517.0
2036,,2316588.0,703070.0,1613517.0
2037,,2317054.0,703537.0,1613517.0
2038,,2317432.0,703915.0,1613517.0
2039,,2317432.0,703915.0,1613517.0
2040,,2317347.0,703829.0,1613517.0
