year,Base case cost,Modeled wind power
2019,499895.633369,804638.160219
2020,536567.513809,826532.593634
2021,559506.763033,837314.68541
2022,578800.099689,845332.064385
2023,592305.435349,848785.169419
2024,601713.328546,849013.352017
2025,615213.307072,852814.277686
2026,630641.853957,858367.258326
2027,644141.832482,862505.000517
2028,653784.674286,863641.954356
2029,669478.781974,869948.12039
2030,679394.837629,871671.972948
2031,695111.139159,878306.665718
2032,710558.053362,884819.774118
2033,727647.311892,892772.647079
2034,745018.202627,901148.108145
2035,756598.79645,904911.680368
2036,773969.687185,913559.219648
2037,783620.182038,916005.312957
2038,801308.674308,925229.927814
