year,Base case diesel consumed,Modeled solar power
2020,193009.897054,190605.725399
2021,192933.366563,190548.428282
2022,192933.366563,190567.507788
2023,192933.366563,190586.434658
2024,192856.836073,190528.679623
2025,192856.836073,190547.304875
2026,192856.836073,190565.781124
2027,192856.836073,190584.109564
2028,192856.836073,190602.291376
2029,192933.366563,190696.858224
2030,193009.897054,190791.280781
2031,193086.427544,190885.560202
2032,193086.427544,190903.167141
2033,193009.897054,190844.102733
2034,193009.897054,190861.429088
2035,193009.897054,190878.616832
2036,193009.897054,190895.667073
2037,193009.897054,190912.580913
2038,193086.427544,191005.889933
2039,193086.427544,191022.534234
