year,Base case cost,Modeled solar power
2020,536567.513809,554732.01719
2021,559506.763033,576919.937742
2022,578800.099689,595525.646629
2023,592305.435349,608429.050283
2024,601713.328546,617295.41342
2025,615213.307072,630220.463164
2026,630641.853957,645064.415441
2027,644141.832482,658015.849291
2028,653784.674286,667167.909768
2029,669478.781974,682315.815983
2030,679394.837629,691764.716195
2031,695111.139159,706958.990795
2032,710558.053362,721895.83964
2033,727647.311892,738465.080025
2034,745018.202627,755327.753524
2035,756598.79645,766475.62001
2036,773969.687185,783360.641009
2037,783620.182038,792620.231714
2038,801308.674308,809844.095484
2039,816755.588512,824857.636498
