year,Base case diesel consumed,Modeled transmission and interties
2021,192933.366563,0.0
2022,192933.366563,0.0
2023,192933.366563,0.0
2024,192856.836073,0.0
2025,192856.836073,0.0
2026,192856.836073,0.0
2027,192856.836073,0.0
2028,192856.836073,0.0
2029,192933.366563,0.0
2030,193009.897054,0.0
2031,193086.427544,0.0
2032,193086.427544,0.0
2033,193009.897054,0.0
2034,193009.897054,0.0
2035,193009.897054,0.0
2036,193009.897054,0.0
2037,193009.897054,0.0
2038,193086.427544,0.0
2039,193086.427544,0.0
2040,193086.427544,0.0
