year,Base case cost,Modeled diesel efficiency
2019,499895.633369,709172.851059
2020,536567.513809,736540.870852
2021,559506.763033,751564.603585
2022,578800.099689,763410.51403
2023,592305.435349,770128.046468
2024,601713.328546,773250.944752
2025,615213.307072,780221.17998
2026,630641.853957,789068.935883
2027,644141.832482,796284.811749
2028,653784.674286,800112.719221
2029,669478.781974,809557.519155
2030,679394.837629,813862.573553
2031,695111.139159,823550.958605
2032,710558.053362,833102.238936
2033,727647.311892,844251.82604
2034,745018.202627,855760.241705
2035,756598.79645,862105.140983
2036,773969.687185,873811.983572
2037,783620.182038,878596.023754
2038,801308.674308,890780.829698
