year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,57860.53,10155.68,12041.91,9135.85
2018,57860.53,10152.78,12041.91,9135.85
2019,57860.53,10150.04,12041.91,9135.85
2020,57941.45,10147.1,12041.91,9135.85
2021,57941.45,10144.36,12041.91,9135.85
2022,57941.45,10141.86,12041.91,10158.39
2023,57941.45,10139.49,12041.91,10158.39
2024,58022.38,10137.07,12041.91,10158.39
2025,58022.38,10134.48,12041.91,10158.39
2026,58022.38,10131.61,12041.91,10158.39
2027,58022.38,10128.77,12041.91,10158.39
2028,58103.3,10125.74,12041.91,10158.39
2029,58103.3,10122.59,12041.91,11180.94
2030,58103.3,10119.64,12041.91,11180.94
2031,58184.22,10116.37,12041.91,11180.94
2032,58184.22,10113.28,12041.91,11180.94
2033,58184.22,10110.18,12041.91,11180.94
2034,58184.22,10107.08,12041.91,11180.94
2035,58265.15,10104.01,12041.91,11180.94
2036,58265.15,10100.76,12041.91,12203.48
2037,58265.15,10097.77,12041.91,12203.48
2038,58346.07,10094.76,12041.91,12203.48
2039,58346.07,10091.92,12041.91,12203.48
2040,58346.07,10089.05,12041.91,12203.48
