year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,31334.0,28196.0557271
2018,31331.0,28193.0557271
2019,31328.0,28190.0557271
2020,31325.0,28187.0557271
2021,31322.0,28184.0557271
2022,32342.0,29204.0557271
2023,32339.0,29201.0557271
2024,32337.0,29199.0557271
2025,32334.0,29196.0557271
2026,32332.0,29194.0557271
2027,32329.0,29191.0557271
2028,32326.0,29188.0557271
2029,33346.0,30208.0557271
2030,33343.0,30205.0557271
2031,33339.0,30201.0557271
2032,33336.0,30198.0557271
2033,33333.0,30195.0557271
2034,33330.0,30192.0557271
2035,33327.0,30189.0557271
2036,34346.0,31208.0557271
