year,Base case cost,Modeled biomass for heat (cordwood)
2017,135380.060177,150477.23751
2018,145469.435605,159205.072739
2019,159430.851034,171425.111508
2020,165978.553291,176981.833816
2021,170546.364817,180764.709027
2022,179634.157246,189191.532865
2023,182062.638527,191072.119419
2024,184038.921333,192552.178448
2025,186450.840664,194432.124159
2026,189380.731275,196787.236499
2027,191799.661825,198687.151834
2028,193816.036278,200230.165634
2029,202753.83017,208632.94892
2030,204467.798769,209920.778963
2031,207549.488771,212453.152716
2032,210628.621272,214989.756625
2033,213755.976213,217575.872019
2034,217061.608714,220329.170541
2035,219090.462435,221931.459296
2036,229207.17651,231507.690706
