year,Base case cost,Modeled diesel efficiency
2019,445577.382983,625111.824295
2020,467350.35769,644905.437665
2021,482099.086927,658313.373335
2022,493160.633855,668369.325087
2023,501456.79405,675911.288901
2024,507909.363091,681777.260757
2025,515283.72771,688481.228592
2026,524501.683483,696861.188385
2027,532378.860516,704022.258416
2028,538402.298013,709498.110686
2029,546685.410291,717028.212756
2030,552207.485142,722048.280803
2031,561410.943228,730415.060881
2032,570164.973008,738373.269772
2033,579361.18225,746733.459992
2034,589012.361538,755507.259345
2035,594974.908749,760927.75681
2036,605074.79146,770109.468364
2037,610583.818392,775117.674667
2038,620193.679273,783853.911831
