year,Base case cost,Modeled biomass for heat (pellet)
2017,2043008.92151,2433968.32837
2018,2281883.14151,2604374.26288
2019,2613224.80151,2840743.78494
2020,2775042.82151,2956180.06316
2021,2882921.50151,3033137.58197
2022,2967683.32151,3093604.20389
2023,3029328.28151,3137579.92892
2024,3075562.00151,3170561.7227
2025,3137206.96151,3214537.44773
2026,3206557.54151,3264010.1384
2027,3268202.50151,3307985.86343
2028,3314436.22151,3340967.65721
2029,3383786.80151,3390440.34787
2030,3422314.90151,3417925.17602
2031,3499371.10151,3472894.83231
2032,,
2033,,
2034,,
2035,,
2036,,
